"experiment","m","n","lambda","rep","seed","design_path","objective","n_iter","elapsed_sec","k_min","k_ave","k_m2","A","B","phi_lambda","C1","C2","U2"
"distance",10,20,0.5,1,190680293,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n020_lambda050_rep01.rds",0.791624559791762,6000,0.0699999999999985,15,23.6842105263158,604.021052631579,0.666666666666667,0.916582452916858,0.791624559791762,22,565.789473684211,1024.10526315789
"distance",20,40,0.5,1,1780976060,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n040_lambda050_rep01.rds",0.811094568319019,6000,0.301,64,97.4358974358974,9923.98461538462,0.670212765957447,0.951976370680592,0.811094568319019,95,9500,18328.6666666667
"distance",5,15,0.5,1,30915693,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n015_lambda050_rep01.rds",0.599509803921569,6000,0.0310000000000006,2,5.33333333333333,31.9619047619048,0.25,0.949019607843137,0.599509803921569,5,31.25,45.2142857142857
"distance",10,30,0.5,1,52211291,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda050_rep01.rds",0.758495562920206,6000,0.106000000000002,13,23.2758620689655,580.471264367816,0.571428571428571,0.94556255441184,0.758495562920206,22,556.034482758621,1004.93103448276
"distance",20,60,0.5,1,1504038056,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda050_rep01.rds",0.791407264470345,6000,0.508000000000001,59,96.6101694915254,9718.82259887006,0.617021276595745,0.965793252344945,0.791407264470345,95,9419.49152542373,18170.1355932203
"distance",5,20,0.5,1,1914071358,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda050_rep01.rds",0.604842931937173,6000,0.0330000000000013,2,5.26315789473684,31.2421052631579,0.25,0.959685863874345,0.604842931937173,5,30.7017543859649,44.1052631578947
"distance",10,40,0.5,1,2061225918,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n040_lambda050_rep01.rds",0.717769753330695,6000,0.154,11,23.0769230769231,569.34358974359,0.476190476190476,0.959349030470914,0.717769753330695,22,551.282051282051,995.589743589744
"distance",20,80,0.5,1,1227100052,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n080_lambda050_rep01.rds",0.774916277993971,6000,0.741000000000001,55,96.2025316455696,9594.3746835443,0.574468085106383,0.975364470881559,0.774916277993971,95,9379.74683544304,18091.8734177215
"distance",5,25,0.5,1,2039930320,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n025_lambda050_rep01.rds",0.60977960701009,6000,0.0489999999999995,2,5.2,30.78,0.25,0.96955921402018,0.60977960701009,5,30.3819444444444,43.4583333333333
"distance",10,50,0.5,1,1922756916,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n050_lambda050_rep01.rds",0.697472700143927,6000,0.204000000000001,10,22.9591836734694,563.318367346939,0.428571428571429,0.966373971716425,0.697472700143927,22,548.469387755102,990.061224489796
